"Technique","Min_Accuracy","1st.Qu_Accuracy","Median_Accuracy","Mean_Accuracy","3rd.Qu_Accuracy","Max_Accuracy","NA.s","Runtime_Training","Seed","Samples","Female_samples","Male_samples","Data_division_method","Training_samples_80p","Training_samples_Female","Training_samples_Male","Test_samples_20p","Test_samples_Female","Test_samples_Male","Operational_System"
"RNA 3 (mlpML)",0.91875,0.9625,0.9625,0.96375,0.975,0.99375,0,"00:00:23",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"SVM 1 (svmRadial)",0.93125,0.9625,0.96875,0.970833333333333,0.975,0.99375,0,"00:00:15",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"SVM 2 (svmRadialWeights)",0.95,0.9625,0.975,0.972708333333333,0.98125,0.99375,0,"00:00:42",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"SVM 3 (svmPoly)",0.94375,0.9640625,0.975,0.971666666666667,0.98125,0.99375,0,"00:01:47",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"CART 1 (rpart)",0.91875,0.9453125,0.95625,0.955208333333333,0.9625,0.98125,0,"00:00:01",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"CART 2 (rpart1SE)",0.925,0.94375,0.95625,0.954791666666667,0.9671875,0.98125,0,"00:00:02",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"CART 3 (rpart2)",0.93125,0.95,0.95625,0.95625,0.9625,0.99375,0,"00:00:01",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Decision Trees 1 (C5.0)",0.95,0.9625,0.975,0.972708333333333,0.98125,0.99375,0,"00:00:45",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Decision Trees 2 (C5.0Rules)",0.925,0.9515625,0.9625,0.960416666666667,0.96875,0.98125,0,"00:00:04",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Decision Trees 3 (C5.0Tree)",0.91875,0.94375,0.95625,0.952916666666667,0.9625,0.98125,0,"00:00:04",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Random Forest 1 (rf)",0.95,0.9640625,0.971875,0.972708333333333,0.98125,0.99375,0,"00:00:58",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Random Forest 2 (cforest)",0.93125,0.9515625,0.96875,0.966458333333333,0.98125,0.9875,0,"00:07:56",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Random Forest 3 (parRF)",0.9375,0.9640625,0.975,0.972291666666667,0.98125,1,0,"00:00:58",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"k-NN 1 (knn)",0.93125,0.95625,0.965625,0.965625,0.975,0.99375,0,"00:00:02",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"k-NN 2 (kknn)",0.94375,0.9625,0.975,0.970833333333333,0.98125,0.99375,0,"00:00:25",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Naive Bayes 1 (nb)",0.875,0.90625,0.9125,0.91375,0.91875,0.94375,0,"00:00:17",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
"Naive Bayes 2 (naive_bayes)",0.875,0.89375,0.91875,0.913958333333333,0.9296875,0.95,0,"00:00:03",123,2000,1000,1000,"createDP",1600,800,800,400,200,200,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.9375,0.9625,0.975,0.970833333333333,0.9875,1,0,"00:00:19",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"RNA 2 (mlp)",0.925,0.953125,0.975,0.968333333333333,0.984375,1,0,"00:00:13",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"RNA 3 (mlpML)",0.9375,0.9625,0.96875,0.968333333333333,0.975,1,0,"00:00:13",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"SVM 1 (svmRadial)",0.9125,0.95,0.9625,0.963333333333333,0.975,1,0,"00:00:07",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"SVM 2 (svmRadialWeights)",0.9125,0.95,0.975,0.964583333333333,0.975,1,0,"00:00:18",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"SVM 3 (svmPoly)",0.925,0.953125,0.975,0.971666666666667,0.9875,1,0,"00:00:43",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"CART 1 (rpart)",0.875,0.9375,0.9375,0.939583333333333,0.9625,0.975,0,"00:00:01",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"CART 2 (rpart1SE)",0.8875,0.928125,0.95,0.94625,0.9625,1,0,"00:00:01",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"CART 3 (rpart2)",0.8875,0.9375,0.94375,0.945416666666667,0.9625,1,0,"00:00:01",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Decision Trees 1 (C5.0)",0.925,0.953125,0.975,0.96875,0.975,1,0,"00:00:21",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Decision Trees 2 (C5.0Rules)",0.9125,0.928125,0.95,0.9525,0.975,1,0,"00:00:02",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Decision Trees 3 (C5.0Tree)",0.85,0.9375,0.95,0.946666666666667,0.975,1,0,"00:00:02",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Random Forest 1 (rf)",0.925,0.95,0.96875,0.966666666666667,0.9875,1,0,"00:00:26",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Random Forest 2 (cforest)",0.925,0.95,0.9625,0.960416666666667,0.975,0.9875,0,"00:02:19",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Random Forest 3 (parRF)",0.9125,0.940625,0.975,0.96875,0.9875,1,0,"00:00:26",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"k-NN 1 (knn)",0.9125,0.928125,0.95,0.950416666666667,0.9625,0.9875,0,"00:00:01",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"k-NN 2 (kknn)",0.8875,0.9375,0.95625,0.954166666666667,0.975,0.9875,0,"00:00:12",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Naive Bayes 1 (nb)",0.825,0.8875,0.9,0.902083333333333,0.925,0.9875,0,"00:00:09",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
"Naive Bayes 2 (naive_bayes)",0.825,0.8875,0.90625,0.901666666666667,0.9125,0.95,0,"00:00:02",123,1000,500,500,"createDP",800,400,400,200,100,100,"windows"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RNA 1 (nnet)",0.875,0.95,0.975,0.965833333333333,0.975,1,0,"00:00:11",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"RNA 2 (mlp)",0.9,0.95,0.975,0.968333333333333,0.99375,1,0,"00:00:08",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"RNA 3 (mlpML)",0.875,0.95,0.975,0.963333333333333,0.975,1,0,"00:00:09",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"SVM 1 (svmRadial)",0.875,0.95,0.975,0.964166666666667,0.975,1,0,"00:00:04",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"SVM 2 (svmRadialWeights)",0.9,0.95,0.975,0.966666666666667,0.99375,1,0,"00:00:09",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"SVM 3 (svmPoly)",0.925,0.95,0.975,0.966666666666667,1,1,0,"00:00:23",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"CART 1 (rpart)",0.85,0.925,0.95,0.939166666666667,0.975,1,0,"00:00:01",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"CART 2 (rpart1SE)",0.825,0.9,0.925,0.925833333333333,0.95,1,0,"00:00:01",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"CART 3 (rpart2)",0.85,0.925,0.95,0.94,0.96875,1,0,"00:00:01",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"Decision Trees 1 (C5.0)",0.9,0.95,0.95,0.9575,0.975,1,0,"00:00:11",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"Decision Trees 2 (C5.0Rules)",0.9,0.925,0.95,0.940833333333333,0.95,1,0,"00:00:02",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
"Decision Trees 3 (C5.0Tree)",0.85,0.925,0.95,0.943333333333333,0.96875,1,0,"00:00:02",123,500,250,250,"createDP",400,200,200,100,50,50,"windows"
